100
11.2, 124.4, 6.1  
52.9, 69.5, 14.1  
48.2, 180.1, 45.6  
12.6, 25.5, 7.9  
65.5, 176.6, 47.8  
22.7, 51.1, 22.5  
84.6, 172.0, 26.5  
76.3, 165.7, 21.7  
30.1, 180.8, 26.1  
6.8, 140.9, 34.3  
57.9, 108.5, 48.9  
79.5, 100.4, 20.7  
47.9, 155.3, 44.8  
74.9, 110.6, 40.1  
18.2, 171.8, 7.5  
75.2, 166.0, 48.5  
64.4, 88.5, 6.9  
41.9, 57.0, 49.6  
51.8, 171.0, 15.6  
31.7, 93.4, 29.0  
65.6, 118.0, 23.1  
42.6, 121.3, 17.9  
11.0, 140.6, 27.7  
37.7, 114.0, 23.9  
14.5, 183.9, 14.5  
65.7, 194.6, 32.8  
77.1, 111.8, 13.6  
94.1, 192.4, 36.8  
19.3, 41.2, 6.6  
16.8, 17.1, 36.5  
18.8, 89.7, 1.5  
91.7, 167.9, 46.5  
19.0, 20.4, 1.0  
32.9, 140.9, 30.5  
49.9, 112.0, 33.4  
18.8, 101.2, 32.2  
19.0, 107.0, 24.3  
21.6, 44.3, 36.4  
51.8, 64.0, 48.0  
98.2, 130.2, 26.2  
62.6, 147.5, 37.7  
44.6, 82.1, 11.8  
65.5, 74.2, 35.6  
99.6, 139.7, 5.2  
72.5, 168.7, 9.3  
19.6, 52.6, 44.2  
15.4, 132.4, 29.6  
22.8, 54.1, 5.4  
45.9, 54.0, 30.1  
60.6, 87.8, 22.1  
72.0, 91.2, 29.6  
0.8, 49.3, 23.2  
37.7, 92.9, 28.8  
30.3, 181.3, 5.4  
15.3, 116.5, 20.7  
19.1, 135.0, 37.3  
17.8, 162.2, 13.3  
24.3, 126.5, 44.5  
5.5, 116.4, 33.3  
96.3, 126.2, 12.2  
34.5, 99.9, 45.7  
61.1, 125.5, 22.7  
23.6, 190.9, 8.8  
26.1, 135.2, 20.2  
70.3, 154.7, 29.4  
98.9, 199.1, 16.5  
88.0, 117.8, 14.8  
23.6, 36.6, 43.1  
22.7, 115.1, 11.9  
50.5, 96.1, 2.1  
8.8, 143.3, 26.0  
76.8, 121.9, 37.5  
96.2, 100.8, 36.0  
18.6, 24.8, 2.9  
88.3, 133.6, 14.3  
47.6, 111.4, 26.7  
39.3, 137.8, 41.2  
24.1, 82.6, 3.3  
27.1, 142.7, 12.6  
19.4, 154.4, 4.6  
9.0, 84.3, 45.9  
48.6, 121.9, 26.0  
45.0, 151.7, 48.3  
39.5, 54.4, 12.0  
0.7, 164.2, 16.0  
62.7, 189.9, 47.8  
76.8, 84.5, 10.6  
51.7, 96.8, 21.7  
24.8, 141.1, 47.7  
61.8, 66.8, 0.9  
51.6, 168.2, 44.4  
66.6, 80.9, 43.3  
65.6, 151.4, 22.4  
83.5, 142.6, 33.0  
15.3, 191.8, 40.1  
67.3, 175.7, 33.5  
7.8, 7.9, 8.2  
24.6, 146.3, 27.3  
5.4, 179.0, 7.6  
95.0, 161.2, 22.5  
